Quarterly Monetary Aggregates (N'Million),,,,,,,,,,
Year,NFA,NCG,Credit to Core Private Sector,Credit to State & Local Govt,Reserve Money,Narrrow Money (M1),Broad Money (M2),PSDD,DMBs Deposits at CBN,CIC
Q2,3597.2,1239.3,1963.2,0,2625.2,3196,5108.1,2076.7,1393.4,1231.9
Q3,3536.8,1286.9,2152.9,0,2895,3334.7,8303.8,2136.5,1571.1,1324
Q4,3170.2,1353.8,2464.4,0,2445.2,3864.1,5905.1,2513.9,905.2,1540
1977,,,,,,,,,,
Q1,3079.8,2609.2,,0,2506.3,4682.4,6817.6,3193.2,842,1664.3
Q2,3002.1,2948.6,,0,2669.8,4662.4,6789.3,3118.7,977.1,1692.7
Q3,2908,3165.9,,0,2752,5182.9,7348.4,3517.2,931.3,1820.8
Q4,2722.3,3808.4,,0,2792.6,5557.8,7898.8,3617,630,2162
1978,,,,,,,,,,
Q1,2387,2377.6,3883.8,0,2854,5719.4,8077.7,3639.8,563.7,2290.3
Q2,1666.4,2231.4,4094.9,0,2786,5602.2,8167.3,3526.7,520.2,2265.8
Q3,1107.2,3015.8,4273.4,0,2709.4,5866.7,8554.8,3820.7,478.3,2231.1
Q4,1192.9,2504.4,4513,0,2898.6,5260.7,7985.4,3103.5,516.9,2381.7
1979,,,,,,,,,,
Q1,1473.9,3604.5,4573.7,0,2784.2,5567.8,8376.6,3420.4,469.4,2314.8
Q2,1895,2488,4807.8,0,2961.9,6080.4,9183.7,3952.2,631.8,2330.1
Q3,2735.8,4315.7,4915,0,3052.1,6621.9,10188.8,4485.8,553.8,2498.3
Q4,3232.2,3365.6,5399.6,0,3083.4,6351.5,10224.6,4000.7,380,2703.4
1980,,,,,,,,,,
Q1,3811.8,3597.9,5603,0,3626.2,7333.1,11587.7,4907.7,958.4,2667.8
Q2,4632,2307,6050.9,0,3268,6775.2,11411.3,4319.5,497.5,2770.5
Q3,5661.5,1655,6696.1,0,3551,7734.4,12543.4,5077.7,600.2,2950.8
Q4,5622,3567.8,7457.8,0,4797.5,9650.7,15100,6464.8,1208,3588.5
